Team,Name,Current Start Date,Current Tenure,Championships as GM,Executive of the Year,Ex NBA Player,Ex College Player,Ex NBA Coach,Ex College Coach,Ex Agent,Ex Scout,Ex Video,MBA,JD,Promoted,Sloan
Atlanta Hawks,Travis Schlenk,5/25/2017,2.8,0,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Boston Celtics,Danny Ainge,5/9/2003,16.8,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Brooklyn Nets,Sean Marks,2/18/2016,4,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Charlotte Hornets,Mitch Kupchak,4/8/2018,1.9,4,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Chicago Bulls,Gar Forman,5/21/2009,10.8,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Cleveland Cavaliers,Koby Altman,6/19/2017,2.7,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Dallas Mavericks,Donn Nelson,7/1/2002,17.7,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Denver Nuggets,Tim Connelly,6/17/2013,6.7,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Detroit Pistons,Ed Stefanski,6/1/2018,1.7,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Golden State Warriors,Bob Myers,4/24/2012,7.8,3,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Houston Rockets,Daryl Morey,5/6/2007,12.8,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Indiana Pacers,Kevin Pritchard,6/27/2013,6.7,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Los Angeles Clippers,Lawrence Frank,8/4/2017,2.6,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Los Angeles Lakers,Rob Pelinka,4/9/2019,0.9,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Memphis Grizzlies,Zach Kleiman,4/12/2019,0.9,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Miami Heat,Pat Riley,9/2/1995,24.5,3,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Milwaukee Bucks,Jon Horst,6/16/2017,2.7,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Minnesota Timberwolves,Gersson Rosas,5/1/2019,0.8,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
New Orleans Pelicans,David Griffin,4/17/2019,0.9,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
New York Knicks,Scott Perry,7/14/2017,2.6,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Oklahoma City Thunder,Sam Presti,6/7/2007,12.7,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Orlando Magic,Jeff Weltman,5/22/2017,2.8,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Philadelphia 76ers,Elton Brand,9/18/2018,1.4,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Phoenix Suns,James Jones,10/8/2018,1.4,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Portland Trail Blazers,Neil Olshey,6/4/2012,7.7,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Sacramento Kings,Vlade Divac,3/3/2015,5,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
San Antonio Spurs,R.C. Buford,7/1/2002,17.7,4,2,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Toronto Raptors,Masai Ujiri,5/31/2013,6.7,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Utah Jazz,Dennis Lindsey,8/7/2012,7.6,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Washington Wizards,Tommy Sheppard,4/2/2019,0.9,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
